"Candidate" "Thermometer"
"Clinton" 31
"Clinton" 0
"Clinton" 20
"Clinton" 69
"Clinton" 1
"Clinton" 25
"Clinton" 0
"Clinton" 79
"Clinton" 11
"Clinton" 55
"Clinton" 100
"Clinton" 1
"Clinton" 0
"Clinton" 0
"Clinton" 58
"Clinton" 90
"Clinton" 3
"Clinton" 2
"Clinton" 0
"Clinton" 0
"Clinton" 0
"Clinton" 71
"Clinton" 99
"Clinton" 0
"Clinton" 99
"Clinton" 25
"Clinton" 65
"Clinton" 6
"Clinton" 67
"Clinton" 0
"Clinton" 91
"Clinton" 58
"Clinton" 99
"Clinton" 75
"Clinton" 1
"Clinton" 47
"Clinton" 1
"Clinton" 1
"Clinton" 51
"Clinton" 30
"Clinton" 2
"Clinton" 100
"Clinton" 11
"Clinton" 100
"Clinton" 1
"Clinton" 91
"Clinton" 100
"Clinton" 0
"Clinton" 82
"Clinton" 1
"Clinton" 1
"Clinton" 81
"Clinton" 2
"Clinton" 4
"Clinton" 3
"Clinton" 60
"Clinton" 100
"Clinton" 19
"Clinton" 5
"Clinton" 4
"Clinton" 1
"Clinton" 0
"Clinton" 75
"Clinton" 49
"Clinton" 1
"Clinton" 52
"Clinton" 70
"Clinton" 76
"Clinton" 0
"Clinton" 85
"Clinton" 72
"Clinton" 0
"Clinton" 89
"Clinton" 1
"Clinton" 60
"Clinton" 0
"Clinton" 21
"Clinton" 1
"Clinton" 63
"Clinton" 2
"Clinton" 0
"Clinton" 1
"Clinton" 84
"Clinton" 18
"Clinton" 23
"Clinton" 41
"Clinton" 75
"Clinton" 0
"Clinton" 30
"Clinton" 0
"Clinton" 84
"Clinton" 5
"Clinton" 0
"Clinton" 56
"Clinton" 41
"Clinton" 66
"Clinton" 77
"Clinton" 11
"Clinton" 71
"Clinton" 100
"Clinton" 1
"Clinton" 64
"Clinton" 85
"Clinton" 75
"Clinton" 77
"Clinton" 7
"Clinton" 72
"Clinton" 0
"Clinton" 5
"Clinton" 85
"Clinton" 74
"Clinton" 33
"Clinton" 0
"Clinton" 0
"Clinton" 1
"Clinton" 96
"Clinton" 3
"Clinton" 0
"Clinton" 100
"Clinton" 0
